Number;GroupName;Chain_ShortName;RobName1;RobName2;RobName3;RobName4;RobName5;RobName6;RobName7;RobName8;RobName9
1;P4PRRRR4G;PRRRR;P4PRRRR4G1P2A1;P4PRRRR4G1P2A1;P4PRRRR4G1P2A1;P4PRRRR4G1P2A1;P4PRRRR4G1P2A1;;;;
2;P4PRRRR4V1G;PRUR;P4PRRRR4V1G1P2A1;P4PRRRR4V1G1P2A1;P4PRRRR4V1G1P2A1;P4PRRRR4V1G1P2A1;;;;;
3;P4PRRRR6G;PRRRR;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1;P4PRRRR6G1P1A1
4;P4PRRRR6V1G;PRUR;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;P4PRRRR6V1G1P1A1;;
5;P4PRRRR8G;PRRRR;P4PRRRR8G1P1A1;P4PRRRR8G1P1A1;;;;;;;
6;P4PRRRR8V1G;PUU;P4PRRRR8V1G1P1A1;P4PRRRR8V1G1P1A1;P4PRRRR8V1G1P1A1;;;;;;
7;P4PRRRR8V2G;PRRU;P4PRRRR8V2G1P1A1;P4PRRRR8V2G1P1A1;;;;;;;
8;P4RPRRR12V1G;RPRU;P4RPRRR12V1G1P1A1;;;;;;;;
9;P4RPRRR6G;RPRRR;P4RPRRR6G1P1A1;;;;;;;;
10;P4RPRRR6V1G;;;;;;;;;;
11;P4RPRRR8G;RPRRR;P4RPRRR8G2P1A1;P4RPRRR8G2P1A1;;;;;;;
12;P4RPRRR8V1G;RPUR;P4RPRRR8V1G2P1A1;P4RPRRR8V1G2P1A1;;;;;;;
13;P4RRPRR4G;RRPRR;P4RRPRR4G1P3A1;P4RRPRR4G1P3A1;;;;;;;
14;P4RRPRR5G;RRPRR;P4RRPRR5G1P3A1;P4RRPRR5G1P3A1;P4RRPRR5G1P3A1;;;;;;
15;P4RRPRR6G;RRPRR;P4RRPRR6G1P2A1;;;;;;;;
16;P4RRPRR7G;RRPRR;P4RRPRR7G1P2A1;;;;;;;;
17;P4RRRRR10G;RRRRR;P4RRRRR10G1P1A1;P4RRRRR10G1P1A1;;;;;;;
18;P4RRRRR10V1G;RUU;P4RRRRR10V1G1P1A1;;;;;;;;
19;P4RRRRR10V2G;RRRU;P4RRRRR10V2G1P1A1;P4RRRRR10V2G1P1A1;;;;;;;
20;P4RRRRR5G;RRRRR;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;P4RRRRR5G1P2A1;;
21;P4RRRRR5V1G;RRUR;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;P4RRRRR5V1G1P2A1;;
22;P4RRRRR7G;RRRRR;P4RRRRR7G1P1A2;;;;;;;;
23;P4RRRRR7V2G;RRRU;P4RRRRR7V2G1P1A2;;;;;;;;
24;P4RRRRR8G;RRRRR;P4RRRRR8G1P1A1;;;;;;;;
25;P4RRRRR8V2G;RRUR;P4RRRRR8V2G1P1A1;;;;;;;;
